generator_count,observed_freq_hz,generator_rank,relation,source_a_hz,source_b_hz,predicted_hz,error_hz
4,4.929199,55,diff,8.964844,3.969727,4.995117,0.065918
4,6.745605,35,2x,3.354492,0.000000,6.708984,0.036621
4,7.946777,45,2x,3.969727,0.000000,7.939453,0.007324
4,8.547363,51,diff,0.417480,8.964844,8.547363,0.000000
4,8.964844,3,generator,8.964844,0.000000,8.964844,0.000000
4,9.418945,21,sum,0.417480,8.964844,9.382324,0.036621
4,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
4,12.004395,7,3x,3.969727,0.000000,11.909180,0.095215
4,12.253418,46,sum,3.354492,8.964844,12.319336,0.065918
4,12.927246,25,sum,8.964844,3.969727,12.934570,0.007324
4,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
4,15.842285,48,4x,3.969727,0.000000,15.878906,0.036621
4,19.841309,59,5x,3.969727,0.000000,19.848633,0.007324
5,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
5,0.607910,20,diff,3.354492,3.969727,0.615234,0.007324
5,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
5,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
5,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
5,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
5,3.054199,12,diff,3.354492,6.342773,2.988281,0.065918
5,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
5,3.508301,29,diff,0.417480,3.969727,3.552246,0.043945
5,3.640137,22,diff,0.417480,3.969727,3.552246,0.087891
5,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
5,3.969727,4,generator,3.969727,0.000000,3.969727,0.000000
5,4.372559,15,sum,0.417480,3.969727,4.387207,0.014648
5,4.929199,55,diff,8.964844,3.969727,4.995117,0.065918
5,6.342773,5,generator,6.342773,0.000000,6.342773,0.000000
5,6.745605,35,sum,0.417480,6.342773,6.760254,0.014648
5,6.870117,33,sum,0.417480,6.342773,6.760254,0.109863
5,7.946777,45,2x,3.969727,0.000000,7.939453,0.007324
5,8.547363,51,diff,0.417480,8.964844,8.547363,0.000000
5,8.964844,3,generator,8.964844,0.000000,8.964844,0.000000
5,9.418945,21,sum,0.417480,8.964844,9.382324,0.036621
5,9.726563,40,sum,3.354492,6.342773,9.697266,0.029297
5,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
5,10.209961,42,sum,3.969727,6.342773,10.312500,0.102539
5,12.004395,7,3x,3.969727,0.000000,11.909180,0.095215
5,12.253418,46,sum,3.354492,8.964844,12.319336,0.065918
5,12.927246,25,sum,8.964844,3.969727,12.934570,0.007324
5,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
5,15.842285,48,4x,3.969727,0.000000,15.878906,0.036621
5,19.028320,57,3x,6.342773,0.000000,19.028320,0.000000
5,19.841309,59,5x,3.969727,0.000000,19.848633,0.007324
6,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
6,0.607910,20,diff,3.354492,3.969727,0.615234,0.007324
6,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
6,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
6,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
6,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
6,3.054199,12,diff,3.354492,6.342773,2.988281,0.065918
6,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
6,3.508301,29,diff,0.417480,3.969727,3.552246,0.043945
6,3.640137,22,diff,0.417480,3.969727,3.552246,0.087891
6,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
6,3.969727,4,generator,3.969727,0.000000,3.969727,0.000000
6,4.372559,15,sum,0.417480,3.969727,4.387207,0.014648
6,4.929199,55,diff,6.342773,11.308594,4.965820,0.036621
6,6.342773,5,generator,6.342773,0.000000,6.342773,0.000000
6,6.745605,35,sum,0.417480,6.342773,6.760254,0.014648
6,6.870117,33,sum,0.417480,6.342773,6.760254,0.109863
6,7.946777,45,2x,3.969727,0.000000,7.939453,0.007324
6,8.547363,51,diff,0.417480,8.964844,8.547363,0.000000
6,8.964844,3,generator,8.964844,0.000000,8.964844,0.000000
6,9.418945,21,sum,0.417480,8.964844,9.382324,0.036621
6,9.726563,40,sum,3.354492,6.342773,9.697266,0.029297
6,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
6,10.209961,42,sum,3.969727,6.342773,10.312500,0.102539
6,11.308594,6,generator,11.308594,0.000000,11.308594,0.000000
6,12.004395,7,3x,3.969727,0.000000,11.909180,0.095215
6,12.253418,46,sum,3.354492,8.964844,12.319336,0.065918
6,12.927246,25,sum,8.964844,3.969727,12.934570,0.007324
6,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
6,14.707031,56,sum,3.354492,11.308594,14.663086,0.043945
6,15.842285,48,4x,3.969727,0.000000,15.878906,0.036621
6,19.028320,57,3x,6.342773,0.000000,19.028320,0.000000
6,19.841309,59,5x,3.969727,0.000000,19.848633,0.007324
7,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
7,0.607910,20,diff,3.354492,3.969727,0.615234,0.007324
7,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
7,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
7,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
7,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
7,3.054199,12,diff,8.964844,12.004395,3.039551,0.014648
7,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
7,3.508301,29,diff,0.417480,3.969727,3.552246,0.043945
7,3.640137,22,diff,0.417480,3.969727,3.552246,0.087891
7,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
7,3.969727,4,generator,3.969727,0.000000,3.969727,0.000000
7,4.372559,15,sum,0.417480,3.969727,4.387207,0.014648
7,4.929199,55,diff,6.342773,11.308594,4.965820,0.036621
7,6.342773,5,generator,6.342773,0.000000,6.342773,0.000000
7,6.745605,35,sum,0.417480,6.342773,6.760254,0.014648
7,6.870117,33,sum,0.417480,6.342773,6.760254,0.109863
7,7.946777,45,2x,3.969727,0.000000,7.939453,0.007324
7,8.107910,54,diff,3.969727,12.004395,8.034668,0.073242
7,8.547363,51,diff,0.417480,8.964844,8.547363,0.000000
7,8.730469,17,diff,3.354492,12.004395,8.649902,0.080566
7,8.964844,3,generator,8.964844,0.000000,8.964844,0.000000
7,9.418945,21,sum,0.417480,8.964844,9.382324,0.036621
7,9.726563,40,sum,3.354492,6.342773,9.697266,0.029297
7,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
7,10.209961,42,sum,3.969727,6.342773,10.312500,0.102539
7,11.308594,6,generator,11.308594,0.000000,11.308594,0.000000
7,12.004395,7,generator,12.004395,0.000000,12.004395,0.000000
7,12.253418,46,sum,3.354492,8.964844,12.319336,0.065918
7,12.524414,43,sum,0.417480,12.004395,12.421875,0.102539
7,12.927246,25,sum,8.964844,3.969727,12.934570,0.007324
7,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
7,14.707031,56,sum,3.354492,11.308594,14.663086,0.043945
7,15.842285,48,4x,3.969727,0.000000,15.878906,0.036621
7,16.025391,32,sum,3.969727,12.004395,15.974121,0.051270
7,18.354492,30,sum,6.342773,12.004395,18.347168,0.007324
7,19.028320,57,3x,6.342773,0.000000,19.028320,0.000000
7,19.841309,59,5x,3.969727,0.000000,19.848633,0.007324
8,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
8,0.607910,20,diff,3.354492,3.969727,0.615234,0.007324
8,0.959473,11,diff,0.417480,1.479492,1.062012,0.102539
8,1.237793,39,3x,0.417480,0.000000,1.252441,0.014648
8,1.479492,8,generator,1.479492,0.000000,1.479492,0.000000
8,1.677246,34,4x,0.417480,0.000000,1.669922,0.007324
8,1.904297,18,sum,0.417480,1.479492,1.896973,0.007324
8,2.167969,14,5x,0.417480,0.000000,2.087402,0.080566
8,2.534180,49,6x,0.417480,0.000000,2.504883,0.029297
8,3.054199,12,diff,8.964844,12.004395,3.039551,0.014648
8,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
8,3.508301,29,diff,0.417480,3.969727,3.552246,0.043945
8,3.640137,22,diff,0.417480,3.969727,3.552246,0.087891
8,3.771973,47,sum,3.354492,0.417480,3.771973,0.000000
8,3.969727,4,generator,3.969727,0.000000,3.969727,0.000000
8,4.372559,15,sum,0.417480,3.969727,4.387207,0.014648
8,4.511719,26,3x,1.479492,0.000000,4.438477,0.073242
8,4.753418,28,sum,3.354492,1.479492,4.833984,0.080566
8,4.929199,55,diff,6.342773,11.308594,4.965820,0.036621
8,5.427246,13,sum,3.969727,1.479492,5.449219,0.021973
8,6.342773,5,generator,6.342773,0.000000,6.342773,0.000000
8,6.745605,35,sum,0.417480,6.342773,6.760254,0.014648
8,6.870117,33,sum,0.417480,6.342773,6.760254,0.109863
8,7.946777,45,2x,3.969727,0.000000,7.939453,0.007324
8,8.107910,54,diff,3.969727,12.004395,8.034668,0.073242
8,8.547363,51,diff,0.417480,8.964844,8.547363,0.000000
8,8.730469,17,diff,3.354492,12.004395,8.649902,0.080566
8,8.964844,3,generator,8.964844,0.000000,8.964844,0.000000
8,9.418945,21,sum,0.417480,8.964844,9.382324,0.036621
8,9.726563,40,sum,3.354492,6.342773,9.697266,0.029297
8,10.026855,60,3x,3.354492,0.000000,10.063477,0.036621
8,10.209961,42,sum,3.969727,6.342773,10.312500,0.102539
8,10.473633,50,sum,8.964844,1.479492,10.444336,0.029297
8,11.308594,6,generator,11.308594,0.000000,11.308594,0.000000
8,12.004395,7,generator,12.004395,0.000000,12.004395,0.000000
8,12.253418,46,sum,3.354492,8.964844,12.319336,0.065918
8,12.524414,43,sum,0.417480,12.004395,12.421875,0.102539
8,12.927246,25,sum,8.964844,3.969727,12.934570,0.007324
8,13.432617,36,4x,3.354492,0.000000,13.417969,0.014648
8,14.707031,56,sum,3.354492,11.308594,14.663086,0.043945
8,15.842285,48,4x,3.969727,0.000000,15.878906,0.036621
8,16.025391,32,sum,3.969727,12.004395,15.974121,0.051270
8,18.354492,30,sum,6.342773,12.004395,18.347168,0.007324
8,19.028320,57,3x,6.342773,0.000000,19.028320,0.000000
8,19.841309,59,5x,3.969727,0.000000,19.848633,0.007324
