generator_count,observed_freq_hz,generator_rank,relation,source_a_hz,source_b_hz,predicted_hz,error_hz
5,3.969727,3,generator,3.969727,0.000000,3.969727,0.000000
5,4.372559,12,sum,0.417480,3.969727,4.387207,0.014648
5,4.511719,16,3x,1.479492,0.000000,4.438477,0.073242
5,4.753418,21,5x,0.959473,0.000000,4.797363,0.043945
5,5.427246,13,sum,3.969727,1.479492,5.449219,0.021973
5,8.964844,8,6x,1.479492,0.000000,8.876953,0.087891
5,12.004395,19,3x,3.969727,0.000000,11.909180,0.095215
6,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
6,0.607910,11,diff,3.354492,3.969727,0.615234,0.007324
6,0.959473,5,generator,0.959473,0.000000,0.959473,0.000000
6,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
6,1.479492,4,generator,1.479492,0.000000,1.479492,0.000000
6,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
6,1.904297,14,sum,0.417480,1.479492,1.896973,0.007324
6,2.167969,9,5x,0.417480,0.000000,2.087402,0.080566
6,3.054199,7,diff,3.969727,0.959473,3.010254,0.043945
6,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
6,3.640137,15,diff,0.417480,3.969727,3.552246,0.087891
6,3.969727,3,generator,3.969727,0.000000,3.969727,0.000000
6,4.372559,12,sum,0.417480,3.969727,4.387207,0.014648
6,4.511719,16,3x,1.479492,0.000000,4.438477,0.073242
6,4.753418,21,5x,0.959473,0.000000,4.797363,0.043945
6,5.427246,13,sum,3.969727,1.479492,5.449219,0.021973
6,6.342773,6,generator,6.342773,0.000000,6.342773,0.000000
6,8.964844,8,6x,1.479492,0.000000,8.876953,0.087891
6,12.004395,19,3x,3.969727,0.000000,11.909180,0.095215
7,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
7,0.607910,11,diff,3.354492,3.969727,0.615234,0.007324
7,0.959473,5,generator,0.959473,0.000000,0.959473,0.000000
7,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
7,1.479492,4,generator,1.479492,0.000000,1.479492,0.000000
7,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
7,1.904297,14,sum,0.417480,1.479492,1.896973,0.007324
7,2.167969,9,diff,0.959473,3.054199,2.094727,0.073242
7,3.054199,7,generator,3.054199,0.000000,3.054199,0.000000
7,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
7,3.640137,15,diff,0.417480,3.969727,3.552246,0.087891
7,3.969727,3,generator,3.969727,0.000000,3.969727,0.000000
7,4.372559,12,sum,0.417480,3.969727,4.387207,0.014648
7,4.511719,16,sum,1.479492,3.054199,4.533691,0.021973
7,4.753418,21,5x,0.959473,0.000000,4.797363,0.043945
7,5.427246,13,sum,3.969727,1.479492,5.449219,0.021973
7,6.342773,6,generator,6.342773,0.000000,6.342773,0.000000
7,6.496582,10,sum,3.354492,3.054199,6.408691,0.087891
7,8.964844,8,6x,1.479492,0.000000,8.876953,0.087891
7,12.004395,19,3x,3.969727,0.000000,11.909180,0.095215
8,0.417480,2,generator,0.417480,0.000000,0.417480,0.000000
8,0.607910,11,diff,3.354492,3.969727,0.615234,0.007324
8,0.959473,5,generator,0.959473,0.000000,0.959473,0.000000
8,1.237793,20,3x,0.417480,0.000000,1.252441,0.014648
8,1.479492,4,generator,1.479492,0.000000,1.479492,0.000000
8,1.677246,17,4x,0.417480,0.000000,1.669922,0.007324
8,1.904297,14,sum,0.417480,1.479492,1.896973,0.007324
8,2.167969,9,diff,0.959473,3.054199,2.094727,0.073242
8,3.054199,7,generator,3.054199,0.000000,3.054199,0.000000
8,3.354492,1,generator,3.354492,0.000000,3.354492,0.000000
8,3.640137,15,diff,0.417480,3.969727,3.552246,0.087891
8,3.969727,3,generator,3.969727,0.000000,3.969727,0.000000
8,4.372559,12,sum,0.417480,3.969727,4.387207,0.014648
8,4.511719,16,sum,1.479492,3.054199,4.533691,0.021973
8,4.753418,21,5x,0.959473,0.000000,4.797363,0.043945
8,5.427246,13,sum,3.969727,1.479492,5.449219,0.021973
8,6.342773,6,generator,6.342773,0.000000,6.342773,0.000000
8,6.496582,10,sum,3.354492,3.054199,6.408691,0.087891
8,8.964844,8,generator,8.964844,0.000000,8.964844,0.000000
8,12.004395,19,sum,3.054199,8.964844,12.019043,0.014648
